id,shop_id,name,slug,image,description,price,available,created,updated,category_id
26,1,Earl Grey Tea Chocolate Cake,ChocolateCake,products/2024/09/23/Chocolate_02_Earl_Grey_Tea_Chocolate_Cake.jpg,"Crunchy streusel layered with Earl Grey tea chocolate mousse and chocolate sponge, coated with a chocolate glaze and decorated with a dusting of streusel.",400,TRUE,2024-09-23 10:41:11.714828+08,2024-09-23 11:36:30.282381+08,11
27,1,St. Honore Gateau,Napoleon,products/2024/09/23/Napoleon_05_St_Honore_Gateau.jpg,"Layers of puff pastry, custard cream and chocolate mousse, decorated with cream puff.",440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:34:09.57618+08,11
28,1,Mixed Fruit Napoleon,Napoleon,products/2024/09/23/Napoleon_04_Mixed_Fruit.jpg,"Fresh fruit and custard cream between layers of puff pastry, topped with mixed fruit.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:34:48.737409+08,11
29,1,Mixed Berries Napoleon,Napoleon,products/2024/09/23/Napoleon_03_Mixed_Berries.jpg,"Fresh berries and custard cream between layers of puff pastry, topped with mixed berries.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:35:19.840247+08,11
30,1,Strawberry Napoleon,Napoleon,products/2024/09/23/Napoleon_02_Strawberry.jpg,"Fresh strawberry and custard cream between layers of puff pastry, topped with fresh strawberry.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:35:35.47517+08,13
31,1,Fig Tart,Tart,products/2024/09/24/Tart_03_Fig.jpg,Sweet pastry shell filled with custard cream and topped with Japanese fig.,580,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:10.48806+08,9
32,1,Tiramisu,CheeseCake,products/2024/09/20/CheeseCake_05_Tiramisu.jpg,Extraordinarily smooth and light mascarpone cheese mousse on a layer of delicate sponge and espresso-soaked lady fingers.,520,TRUE,2024-09-20 11:41:11.714828+08,2024-09-20 11:41:11.714859+08,11
33,1,Mango Napoleon,Napoleon,products/2024/09/23/Napoleon_01_Mango.jpg,"Fresh mango and custard cream between layers of puff pastry, topped with fresh mango.",1404,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:35:47.055225+08,12
34,1,Pistachio Strawberry Cake,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_04_Pistachio_Strawberry_Cake.jpg,"Moist pistachio sponge cake with white chocolate & pistachio cream, topping with crispy pistachio chocolate layer & fresh strawberry.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:02:49.968819+08,12
35,1,Green Tea Opera,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_05_Green_Tea_Opera.jpg,"Layers of green tea flavoured joconde sponge and chocolate ganache, each brushed with green tea syrup and green tea butter cream. Garnished with macarons.",440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:02:59.012711+08,12
36,1,Mixed Berries Charlotte Cake,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_03_MixedBerriesCharlotteCake.jpg,"Mixed berries mousse with layers of white sponge cake, vanilla cream brulee and Joconde biscuit, covered with delicious mix berries topping.",440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:02:41.659803+08,12
37,1,Mixed Fruit Cream Cake,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_02_Mixed_Fruit_Cream_Cake.jpg,"Fresh cream between layers of sponge cake and assorted fruits, decorated with fresh cream and fruits.",440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:01:25.016243+08,12
38,1,Red Bean Ganache & Green Tea Gateau,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_06_Red_Bean_Ganache__Green_Tea_Gateau.jpg,"Twin layers of chocolate sponge cake – one set on a fold of red bean ganache, surrounded and covered with green tea mousse and finished with a green tea flavored white chocolate glaze.",540,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:03:11.030404+08,12
39,1,Strawberry Cream Cake,SpongeCreamCake,products/2024/09/23/SpongeCream_cake_07_Strawberry_Cream_Cake.jpg,"Fresh Cream, Vanilla Sponge Cake and Fresh Strawberries.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 12:04:26.361415+08,13
40,1,Mixed Fruit Tart,Tart,products/2024/09/24/Tart_01_Mixed_Fruit.jpg,Sweet pastry shell filled with chocolate and vanilla custard cream and topped with mixed fruits.,468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:09:54.04759+08,13
41,1,Strawberry Tart,Tart,products/2024/09/24/Tart_02_Strawberry.jpg,Sweet pastry shell filled with vanilla custard cream and topped with fresh strawberries.,468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:02.529158+08,13
42,1,Mascarpone Cream Blueberry Tart,Tart,products/2024/09/24/Tart_04_Cream_Blueberry.jpg,A buttery crust piped with chilled mascarpone cream bursting with fresh blueberries - fresh tasting and very smooth.,440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:19.31345+08,14
43,1,Naughty Puppy,CustomizeCake,products/2024/09/24/Customize_05_Naughty_Puppy_KVtoTFm.jpg,Layers of chiffon sponge cake filled with fresh fruits in whipped cream. Wrapped with marzipan and shaped like a dog.,1740,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:11:09.053306+08,14
44,1,Birthday Cake (Chinese Peach),CustomizeCake,products/2024/09/24/Customize_02_ChinesePeach.jpg,Layers of chiffon sponge cake filled with fresh fruits in whipped cream. Wrapped with marzipan and shaped like a peach.,1620,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:43.820454+08,14
45,1,Hazelnut and Arcote 60% Chocolate Cake,CustomizeCake,products/2024/09/24/Customize_03_Hazelnut__Arcote_60_Chocolate_Cake.jpg,"Layers of hazelnut cream and hazelnut crunchy, wrapped with Arcote 60% chocolate mousse.  Giving a rich nutty flavor.",650,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:51.53426+08,14
46,1,Teddy Bear,CustomizeCake,products/2024/09/24/Customize_04_Teddy_Bear.jpg,Layers of chiffon sponge cake filled with fresh fruits in whipped cream. Wrapped with marzipan and shaped like a bear.,1300,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:11:19.889522+08,14
47,1,Wedding Cake,CustomizeCake,products/2024/09/24/Customize_01_Wedding_Cake.jpg,"To make your special day a truly memorable one, our wedding cakes can be tailor-made according to your preference.",1500,TRUE,2024-09-20 11:33:34.483391+08,2024-09-24 16:10:34.053588+08,9
